conml,conm,tic,cik,gvkey,Works?
AAR Corp,AAR CORP,AIR,0000001750,1004,
ADC Telecommunications Inc.,ADC TELECOMMUNICATIONS INC,ADCT.1,0000061478,1013,
Alpharma Inc.,ALPHARMA INC  -CL A,ALO.2,0000730469,1034,
AMC Entertainment Inc -Old,AMC ENTERTAINMENT INC -OLD,AEN.2,,1038,
American Airlines Group Inc,AMERICAN AIRLINES GROUP INC,AAL,0000006201,1045,
CECO Environmental Corp.,CECO ENVIRONMENTAL CORP,CECE,0000003197,1050,
Aeroflex Inc,AEROFLEX INC,ARXX,0000002601,1056,
AVX Corp.,AVX CORP,AVX,0000859163,1072,
Pinnacle West Capital Corp,PINNACLE WEST CAPITAL CORP,PNW,0000764622,1075,
PROG Holdings Inc,PROG HOLDINGS INC,PRG,0001808834,1076,
Abbott Laboratories,ABBOTT LABORATORIES,ABT,0000001800,1078,
Abitibi-Consolidated Inc.,ABITIBI CONSOLIDATED INC,ABY.2,0001039778,1081,
Aceto Corp,ACETO CORP,ACETQ,0000002034,1094,
Morguard Corp,MORGUARD CORP,MRCBF,,1096,
Acme United Corp,ACME UNITED CORP,ACU,0000002098,1104,
Activision Inc.,ACTIVISION INC,ATVI.1,,1111,
BK Technologies Corp,BK TECHNOLOGIES CORP,BKTI,0000002186,1117,
Adams Diversified Equity Fund Inc,ADAMS DIVERSIFIED EQUITY FD,ADX,0000002230,1119,
Advanced Micro Devices Inc,ADVANCED MICRO DEVICES,AMD,0000002488,1161,
ASM International NV,ASM INTERNATIONAL NV,ASMIY,0000351483,1166,
Aetna Inc.,AETNA INC,AET,0001122304,1177,
Agnico Eagle Mines Ltd,AGNICO EAGLE MINES LTD,AEM,0000002809,1186,
Air Products and Chemicals Inc.,AIR PRODUCTS & CHEMICALS INC,APD,0000002969,1209,
Air T Inc,AIR T INC,AIRT,0000353184,1210,
Airborne Inc.,AIRBORNE INC,ABF,0000003000,1213,
ALASKA AIR GROUP INC,ALASKA AIR GROUP INC,ALK,0000766421,1230,
Alberto-Culver Co,ALBERTO-CULVER CO,ACV.1,0001368457,1239,
Albertson's Inc.,ALBERTSON'S INC,ABS.1,0000003333,1240,
IKON Office Solutions Inc.,IKON OFFICE SOLUTIONS,IKN,0000003370,1246,
Matson Inc,MATSON INC,MATX,0000003453,1254,
